,Constituency Name,Areas,_merge
2,,Aberdeen Central,right_only
3,,Aberdeen Donside,right_only
4,Aberdeen North,,left_only
5,Aberdeen South,,left_only
6,,Aberdeen South and North Kincardine,right_only
7,,Aberdeenshire East,right_only
8,,Aberdeenshire West,right_only
9,Aberdeenshire West & Kincardine,,left_only
10,,Adur,right_only
11,Airdrie & Shotts,,left_only
12,,Airdrie and Shotts,right_only
13,Aldershot,,left_only
14,Aldridge-Brownhills,,left_only
15,,Allerdale,right_only
16,,Almond Valley,right_only
17,Altrincham & Sale West,,left_only
18,Alyn & Deeside,,left_only
19,,Alyn and Deeside,right_only
21,Angus,,left_only
22,,Angus North and Mearns,right_only
23,,Angus South,right_only
25,Argyll & Bute,,left_only
26,,Argyll and Bute,right_only
27,,Arun,right_only
28,Arundel & South Downs,,left_only
31,Ashton Under Lyne,,left_only
32,Aylesbury,,left_only
33,,Aylesbury Vale,right_only
34,,Ayr,right_only
35,"Ayr, Carrick & Cumnock",,left_only
36,Ayrshire Central,,left_only
37,Ayrshire North & Arran,,left_only
38,,Babergh,right_only
39,Banbury,,left_only
40,Banff & Buchan,,left_only
41,,Banffshire and Buchan Coast,right_only
42,Barking,,left_only
43,,Barking and Dagenham,right_only
44,,Barnet,right_only
45,,Barnsley,right_only
46,Barnsley Central,,left_only
47,Barnsley East,,left_only
48,Barrow & Furness,,left_only
49,,Barrow-in-Furness,right_only
50,,Basildon,right_only
51,Basildon & Billericay,,left_only
52,Basildon South & Thurrock East,,left_only
53,Basingstoke,,left_only
54,,Basingstoke and Deane,right_only
56,Bath,,left_only
57,,Bath and North East Somerset,right_only
58,Batley & Spen,,left_only
59,Battersea,,left_only
60,Beaconsfield,,left_only
61,Beckenham,,left_only
63,Bedfordshire Mid,,left_only
64,Bedfordshire North East,,left_only
65,Bedfordshire South West,,left_only
66,Bermondsey & Old Southwark,,left_only
67,Berwick-upon-Tweed,,left_only
68,"Berwickshire, Roxburgh & Selkirk",,left_only
69,Bethnal Green & Bow,,left_only
70,Beverley & Holderness,,left_only
71,Bexhill & Battle,,left_only
72,,Bexley,right_only
73,Bexleyheath & Crayford,,left_only
74,Birkenhead,,left_only
75,,Birmingham,right_only
76,Birmingham Edgbaston,,left_only
77,Birmingham Erdington,,left_only
78,Birmingham Hall Green,,left_only
79,Birmingham Hodge Hill,,left_only
80,Birmingham Ladywood,,left_only
81,Birmingham Northfield,,left_only
82,Birmingham Perry Barr,,left_only
83,Birmingham Selly Oak,,left_only
84,Birmingham Yardley,,left_only
85,Bishop Auckland,,left_only
86,,Blaby,right_only
87,Blackburn,,left_only
88,,Blackburn with Darwen,right_only
89,Blackley & Broughton,,left_only
90,,Blackpool,right_only
91,Blackpool North & Cleveleys,,left_only
92,Blackpool South,,left_only
94,Blaydon,,left_only
95,Blyth Valley,,left_only
96,Bognor Regis & Littlehampton,,left_only
98,,Bolton,right_only
99,Bolton North East,,left_only
100,Bolton South East,,left_only
101,Bolton West,,left_only
102,Bootle,,left_only
103,,Boston,right_only
104,Boston & Skegness,,left_only
105,Bosworth,,left_only
106,,Bournemouth,right_only
107,Bournemouth East,,left_only
108,Bournemouth West,,left_only
109,Bracknell,,left_only
110,,Bracknell Forest,right_only
111,,Bradford,right_only
