Constituency Name,Percentage.Con,Percentage.Lab,Percentage.LD,Percentage.Other
Aberavon,14.248336455843399,51.91872860003877,16.260740357904258,188.2841268815815
Aberconwy,35.820596676233066,24.481078555696456,19.30854968964827,175.91603817660015
Aberdeen North,12.376329540330495,44.41791994907297,18.569799209570036,201.87528182276333
Aberdeen South,20.713854161825534,36.53390342519868,28.386856903843473,167.8370590695729
Aberdeenshire West & Kincardine,30.264409779842904,13.627613674078992,38.415753955083524,168.42792344285874
Airdrie & Shotts,8.739434851739238,58.157828670255796,8.08390750090658,204.60542832436053
Aldershot,46.71910805570245,12.094570773841001,34.41080557024502,168.6872025383395
Aldridge-Brownhills,59.30786353988715,19.793446187296166,17.68649376197132,160.91525599213128
Altrincham & Sale West,48.94620695240216,22.418156418925758,25.47122061830624,153.44279553782926
Alyn & Deeside,32.274628660170826,39.58620344162513,18.305237582346017,167.51496631014703
Amber Valley,38.61351668915096,37.4472344314374,14.439270638408983,166.5825318769311
Angus,30.922023182297153,17.215489989462593,10.77449947312961,212.01001053740777
Arfon,16.933813942787022,30.401104379170178,14.057826520438685,204.3561622823836
Argyll & Bute,24.025040369854224,22.7265688941978,31.614572964363923,174.6897604353308
Arundel & South Downs,57.75606444928727,8.636704655067701,27.94112393269265,146.53817298417349
Ashfield,22.196862810191718,33.693667524275874,33.295294215287576,175.57473649265498
Ashford,54.14152396484552,16.67844522968198,22.797861737791067,157.3307964120685
Ashton Under Lyne,24.745004163197333,48.40757701915071,14.839196502914238,193.48459616985843
Aylesbury,52.17260449193033,12.593581881795268,28.437605808660322,157.04638651668486
"Ayr, Carrick & Cumnock",25.53984267753252,47.1357287603774,9.291177303728237,182.2260475453773
Ayrshire Central,20.364340202664238,47.70579528634863,11.92303313218718,180.28464078333144
Ayrshire North & Arran,15.638823835545146,47.40220313990805,10.03989938416168,192.2803365426316
Banbury,52.813783538699525,19.15506481036966,20.405042584591314,161.27735993314485
Banff & Buchan,30.783029168616437,13.991576977070661,11.347683668694431,216.33390526698903
Barking,17.80429173191011,54.3148887369605,8.20192753015901,187.0829014401341
Barnsley Central,17.2643982595065,47.26088484095025,17.28061403745845,200.84322045350126
Barnsley East,16.48778200385557,47.04579794716824,18.155056531026936,201.90694524045222
Barrow & Furness,36.3022391442299,48.105339497778985,10.026289547638473,166.44003263530053
Basildon & Billericay,52.7364141547788,23.055642425846184,15.728066588082465,170.9976184175708
Basildon South & Thurrock East,43.8672180619202,30.964569129317088,13.360903096009835,177.0403487202414
Basingstoke,50.51920874955581,20.387333675524143,24.50744265013622,157.61835195641015
Bassetlaw,33.89273251709462,50.46291627165823,11.235048510397966,162.86584504911553
Bath,31.363887355052455,6.9043877160939555,56.60068810262074,151.10223845729092
Batley & Spen,33.57334324678628,42.19413410553914,15.838697685339175,162.544757283453
Battersea,47.34997540580423,35.10001639613051,14.7073290703394,159.34169535989506
Beaconsfield,61.06496475519146,11.687940560106687,19.567536673652125,154.43322537626213
Beckenham,57.87233150190831,14.454976303317535,20.578366816256345,150.25793734009983
Bedford,38.90293113387433,35.90306416566893,19.859429737040486,161.82652653984303
Bedfordshire Mid,52.48920706049511,14.769477384920851,24.888427418620328,150.59657176166274
Bedfordshire North East,55.78377016129033,16.123631912442395,21.685987903225808,150.6192396313364
Bedfordshire South West,52.81246307165085,19.592704927718913,20.0220585338953,162.40201678024187
Bermondsey & Old Southwark,17.10599986562451,29.24906497054937,48.3527804528454,183.75848245280062
Berwick-upon-Tweed,36.72311974817243,13.166315460860064,43.721220635292276,158.9375373969146
"Berwickshire, Roxburgh & Selkirk",33.7760639817195,10.207287713714448,45.354388542049215,165.48945199330805
Bethnal Green & Bow,13.939047468853493,42.942753508910265,20.126951584923514,187.21021920832678
Beverley & Holderness,47.11178781556044,21.09814094249892,22.699674805917404,162.06507641121073
Bexhill & Battle,51.56355908916043,11.951563559089161,27.968197556194696,160.743400443329
Bexleyheath & Crayford,50.47010328377565,26.515677828724932,12.741420036126163,165.6153026724098
Birkenhead,18.931008125017694,62.51450896016759,18.55448291481471,183.56028649888174
Birmingham Edgbaston,37.574270525125684,40.638906930312,15.364075918308437,176.34889706766737
Birmingham Erdington,32.611264277274515,41.83030439430597,16.153716311258652,202.03679738929839
Birmingham Hall Green,15.02247214070228,32.916042440536046,24.602376505838652,188.86654216348228
Birmingham Hodge Hill,11.62177434545112,51.980128084385,27.724147673761536,190.2288566585044
Birmingham Ladywood,11.9359249853487,55.67493651103731,27.474674183015658,216.21968576451874
Birmingham Northfield,33.622710097096665,40.27598412015115,15.664609939254795,185.9999043382599
Birmingham Perry Barr,21.310500654061126,50.28421928885718,21.962183374955405,180.9632536567963
Birmingham Selly Oak,31.07188110731697,38.54992161158001,22.273049416919015,173.212636642828
Birmingham Yardley,19.18237454100367,32.21542227662179,39.56425948592411,191.1578947368421
Bishop Auckland,26.26653053286659,38.95128354725787,22.338098016336055,183.69068455853755
Blackburn,26.143431723774146,47.80544627354447,15.204729774280754,174.38405239675598
Blackley & Broughton,18.301952987954625,54.271430242076946,14.211788094959655,222.45059057420184
Blackpool North & Cleveleys,41.79251558227193,36.49577492547609,13.303441649626766,176.16959424502969
Blackpool South,35.795067060695615,41.05762673334849,14.44078199590816,193.71163900886566
Blaenau Gwent,6.991819725266245,52.39697484179657,10.140453773730513,198.77758913412563
Blaydon,15.939705653151648,49.64486896889542,29.345623761494444,160.68176251864716
Blyth Valley,16.62604366540476,44.48477933931442,27.1949385469066,180.1923974485298
Bognor Regis & Littlehampton,51.41082557841714,14.044224366088962,23.52941176470588,166.61188423119611
Bolsover,24.579430753841958,50.0,15.506501773210877,180.07638446849143
Bolton North East,36.47665041476997,45.91353374771819,12.995355500612336,163.89537167548582
Bolton South East,25.623674376325624,47.42450257549742,15.87970912029088,191.82658317341682
Bolton West,38.32814864637633,38.52152345720531,17.187237262485286,160.18370607028754
Bootle,8.910531288611091,66.44378225161712,15.129490999830415,187.60811105458245
Boston & Skegness,49.449275362318836,20.63536231884058,14.773333333333333,175.78202898550725
Bosworth,42.6207760622029,15.981869771898147,33.34930169141762,154.31882669418138
Bournemouth East,48.42813011084863,13.256405596947118,30.87406868980556,173.75295293476285
Bournemouth West,45.147507141314,14.813125615113181,31.745841234787203,185.5565424038023
Bracknell,52.41483811569741,16.792619303360443,22.29361669479822,159.99117692189657
Bradford East,26.8433151247003,32.80520058333539,33.70739303457992,172.77356205353834
Bradford South,29.10909330175023,41.273851822608236,18.286616660086853,184.18476115278327
Bradford West,31.146490536277604,45.34946766561514,11.662066246056781,171.08882097791798
Braintree,52.64109911997236,19.87683677824523,18.79356949779485,157.58388716135195
Brecon & Radnorshire,36.50920324366071,10.544471617968851,46.15523233363367,150.1505985326297
Brent Central,11.179754208679919,41.217483396950776,44.1850715972023,171.42510425170443
Brent North,31.523194003594785,46.87368541818043,16.97770469234005,169.0619144135531
Brentford & Isleworth,37.239840044638704,33.59806565609597,23.65479401097368,164.8079605691435
Brentwood & Ongar,56.91216002530044,9.867172675521822,23.46616065781151,150.90725806451613
Bridgend,30.427412835423894,36.32878712806738,22.578037395363392,169.2283620622213
Bridgwater & Somerset West,45.28104527186978,17.12513533848384,28.30822307452333,163.95683849301744
Brigg & Goole,44.85572320736655,33.124401695765144,14.619136618498427,165.69722386835028
Brighton Kemptown,37.97447605666784,34.864769933263084,18.009600749326776,168.66877414822622
Brighton Pavilion,23.681367442219393,28.911525253694485,13.811397924142454,180.443338349346
Bristol East,28.32041228869094,36.58839993780128,24.419663682608792,169.62702978874646
Bristol North West,37.974809281627465,25.943658614113158,31.470518118245387,154.76001271455817
Bristol South,22.91584844037456,38.448022820761935,28.662380883477685,176.76788556545466
Bristol West,18.373172891032937,27.511879596003396,48.04777133358628,159.35461723309302
Broadland,46.20320449540588,13.833624420988686,32.36008808565571,149.143822613714
Bromley & Chislehurst,53.520902877126055,16.565615278061628,21.956536548811226,161.33024502123214
Bromsgrove,43.69165214022855,21.78965717606043,19.608754600038736,160.46678287817159
Broxbourne,58.79363966884226,17.60918130448114,13.375531122694817,171.21643523588418
Broxtowe,39.04071917613367,38.30295673943141,16.892673582794394,146.41075729702052
Buckingham,,,,259.5262232336816
Burnley,16.608913848727447,31.339467080893773,35.68407217110766,180.62612020552038
Burton,44.53364911787728,31.880858238163096,15.838066756317362,162.2824799791261
Bury North,40.190387224483445,35.20161918106804,17.003625364204535,160.8038077444897
Bury South,33.59645306316945,40.416847949945094,18.223631052271738,164.52855988563616
Bury St Edmunds,47.51353928948534,16.6490684287612,26.429714908545932,157.29929493511358
Caerphilly,17.11464902305386,44.911092732347775,14.700713325752094,189.31820531375996
"Caithness, Sutherland & Easter Ross",13.014460511679642,24.614154616240267,41.38973859844272,192.65850945494992
Calder Valley,39.39165701042874,26.971803785245267,25.177674777906528,161.08342989571264
Camberwell & Peckham,13.030712188430957,59.19329604149253,22.357958807518376,178.49075205212287
Camborne & Redruth,37.58030734473913,16.343868401854422,37.42498764502389,164.2129291883369
Cambridge,25.59146219828446,24.28485936564931,39.140235387991225,164.24097346898066
Cambridgeshire North East,51.59419176398279,17.812692071296865,20.046481253841424,155.28003995082975
Cambridgeshire North West,50.48641971072182,16.946622514283753,21.87258720381586,166.7982087401129
Cambridgeshire South,47.404158764562446,10.20048767271742,34.132010295312924,145.6363451639122
Cambridgeshire South East,47.96534842540189,7.603902642269365,37.6427901808965,154.70122565188709
Cannock Chase,40.104040913979674,33.09115652231173,16.971399723435546,178.05921991264074
Canterbury,44.8088764250442,16.135259810197322,32.518441748460646,161.50094494909467
Cardiff Central,21.573400459185084,28.768222179192833,41.426239938037675,183.33379436253492
Cardiff North,37.497375603611175,37.09006928406466,18.316187276926307,149.21268108335084
Cardiff South & Penarth,28.29227613874552,38.90554215781289,22.256530460456624,181.4870743086389
Cardiff West,29.64744372283803,41.2471312075785,17.544801992284782,170.0791054250696
Carlisle,39.31042654028436,37.28909952606635,15.561611374407583,167.5616113744076
Carmarthen East & Dinefwr,22.377732761569018,26.479177080318856,12.125437373391913,182.46560206256083
Carmarthen West & Pembrokeshire South,41.101538005776774,32.65114671538253,12.071987557706075,162.9150517194559
Carshalton & Wallington,36.848294786358295,8.743847728559606,48.303497539091424,155.6470229539614
Castle Point,43.9879180917692,14.67818593701417,9.39901390307822,186.1302358637232
Ceredigion,11.555753045114747,5.776569606356841,50.02613832401066,194.76972136546604
Charnwood,49.60591685032311,19.6780097867095,21.53636397594412,152.28045272869898
Chatham & Aylesford,46.17983427306138,32.325883991142966,13.312940854201383,168.22653913758074
Cheadle,40.8382845825716,9.369287020109688,47.06924131627056,143.2301188299817
Chelmsford,46.17258622900372,10.953785283827596,36.81241184767278,152.00300404813805
