geography,Mean.Age,Median.Age,Percentage.Age.18.to.19,Percentage.Age.20.to.24,Percentage.Age.25.to.29,Percentage.Age.30.to.44,Percentage.Age.45.to.59,Percentage.Age.60.to.64,Percentage.Age.65.to.74,Percentage.Age.75.to.84,Percentage.Age.85.to.89,Percentage.Age.90.and.over
Berwick-upon-Tweed,44.4,47.0,1.9625452336300482,4.840328587654191,4.907683774003539,16.71333104413746,23.20055997252965,8.361287936818194,12.109405953670198,7.259832536517076,1.8053831321482343,0.9588208880319079
Bishop Auckland,42.1,44.0,2.5326187989855753,5.6011383587895756,5.424417337020759,18.089806410153425,21.9317673249716,7.697692298865085,10.260147114512927,6.363104322779798,1.6375382991175425,0.8124576844955992
Blaydon,42.2,43.0,2.1929973607004905,5.1483331634213485,5.55838742198208,19.268019166071976,21.19935206896161,7.123843182564765,10.711251571685866,6.747771321122325,1.6458807670959776,0.7079666066310984
Blyth Valley,40.9,42.0,2.4959232847372648,5.630734782291236,5.788935673083944,19.33336578479811,21.337649378148807,7.666658553800472,9.687979166159613,5.432375203835763,1.3544430111714167,0.6461897923917541
City of Durham,39.4,38.0,5.320264900662252,12.127152317880794,6.509139072847682,17.639205298013245,18.929801324503313,6.535629139072848,9.218543046357617,5.237615894039735,1.2566887417218544,0.6135099337748344
Darlington,39.8,40.0,2.304822954155135,5.972630911099686,6.6136495400199085,19.837666954723957,20.07066519356356,6.09733419385891,8.917378605729787,5.84245818611418,1.6331754487677346,0.7897874574750867
Easington,40.4,41.0,2.670081793908347,6.440817214174389,6.39611448730805,18.82951346518624,21.232587079703755,6.124273580688422,9.55430173132453,6.247508125022653,1.3036281699670167,0.5750945402264133
Gateshead,38.8,37.0,2.759613146255264,6.999555583772459,8.476710473409096,21.143631092205787,19.15857194252217,5.494889213383277,8.085200939622881,5.522400694135822,1.2729350517427465,0.6549848686855861
Hartlepool,39.8,40.0,2.663319859173295,6.470856695788238,6.109010301212674,18.330290781066633,21.000130395097145,6.342634850262964,8.882079367149128,6.050332507497718,1.4376059460164297,0.5791715564828096
Hexham,44.3,47.0,2.0580827955296708,4.514927330919775,4.071567238574952,16.324308725536493,23.841754551655388,8.12608216590587,11.784458785875438,7.382339052416182,1.824597303111391,1.0034629308987881
Houghton and Sunderland South,41.3,42.0,2.4838509459552656,5.943541527780971,5.666536401462036,19.090365738718653,21.375370681133766,6.882600399990804,9.960690558837728,6.433185444012782,1.442495574814372,0.6045838026712029
