Constituency Name,Percentage.Con,Percentage.Lab,Percentage.LD,Percentage.Other,Percentage.Yes,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications,Schoolchildren and full-time students: Age 18 and over,geography,Mean.Age,Median.Age,Percentage.Age.18.to.19,Percentage.Age.20.to.24,Percentage.Age.25.to.29,Percentage.Age.30.to.44,Percentage.Age.45.to.59,Percentage.Age.60.to.64,Percentage.Age.65.to.74,Percentage.Age.75.to.84,Percentage.Age.85.to.89,Percentage.Age.90.and.over
Aberavon,14.2483364558434,51.91872860003877,16.260740357904258,188.2841268815815,35.7,32.9,15.0,15.8,5.1,10.6,16.6,4.0,2.8,Aberavon,41.0,41.0,2.271180802322593,6.010614972857726,6.539851511348344,19.13265691863366,20.889722226422517,6.49448837947772,9.535330319205237,6.270696928915973,1.6738995660260385,0.8361937308151755
Aberconwy,35.820596676233066,24.481078555696456,19.30854968964827,175.91603817660015,31.0,23.7,13.1,16.4,3.9,11.1,27.1,4.6,3.2,Aberconwy,44.6,46.0,2.14836479659665,5.138704245324825,4.729238677656652,16.867854294070725,20.485686430913763,7.861384383585926,12.005672250288043,8.685633253567314,2.33803066560312,1.1929451387042451
Amber Valley,38.61351668915096,37.4472344314374,14.439270638408985,166.5825318769311,29.5,29.7,14.8,15.9,4.8,12.0,18.7,4.1,2.3,Amber Valley,41.5,42.0,2.2268243004904247,5.520976753183209,5.667762821023406,20.05621109884733,20.955133529806677,7.4212304996415694,10.090688756642354,5.6552461795796685,1.5702695629416383,0.8238225822969175
Arfon,16.933813942787022,30.401104379170174,14.057826520438685,204.3561622823836,43.7,21.0,10.6,14.6,3.4,18.1,27.9,4.4,15.5,Arfon,38.2,37.0,4.94279629537913,11.293810773777096,6.065408680435177,18.169811632245388,17.649777953873837,5.834282601158932,8.40473478282403,5.343965132980041,1.4131708847176134,0.7627160616116091
Ashfield,22.19686281019172,33.693667524275874,33.295294215287576,175.57473649265498,26.3,32.3,16.5,16.4,4.2,11.6,14.6,4.4,2.4,Ashfield,40.5,41.0,2.3951567007476893,5.81470651725965,5.730321643738838,19.963891123888768,20.82245815099005,6.665423788684577,9.957415075455776,5.377082638302883,1.4482799222874188,0.6976470357360127
Ashford,54.14152396484552,16.67844522968198,22.797861737791067,157.3307964120685,26.9,21.3,15.8,17.8,3.8,12.0,24.3,5.0,2.7,Ashford,39.4,40.0,2.465911103240659,5.349743226491943,5.573755976624756,20.17974145564016,19.66619443952541,6.368868425712767,9.024260669381972,5.4250044271294495,1.506994864529839,0.7942270231981583
Bassetlaw,33.89273251709462,50.46291627165823,11.235048510397966,162.8658450491155,24.9,28.8,14.6,16.5,4.2,11.2,19.8,4.8,2.4,Bassetlaw,41.4,43.0,2.3610897040690504,5.436960542540073,5.432143958076449,19.23165844636252,21.368295314426632,7.020653514180025,10.114827373612824,6.09875924784217,1.5557567817509248,0.7436806411837238
Bedford,38.90293113387433,35.90306416566893,19.85942973704049,161.82652653984303,30.8,22.4,14.1,14.9,3.5,11.8,25.1,8.2,6.3,Bedford,37.8,36.0,2.8901905685393703,7.176498525715869,7.547543189598876,21.542358458828883,18.15051550471969,5.184730769991887,7.093384521006076,5.42912552193616,1.460431797043516,0.7707834484396335
Blaenau Gwent,6.991819725266245,52.39697484179657,10.140453773730512,198.77758913412563,32.8,36.0,15.8,15.5,3.5,9.8,15.2,4.2,2.9,Blaenau Gwent,40.5,41.0,2.624115506918383,6.640501905062022,6.136305039103904,19.435929756209354,19.99312458819148,6.616151488240181,9.976509009654224,5.750995502334775,1.4223508178875297,0.7219182398945769
Bolsover,24.57943075384196,50.0,15.506501773210877,180.07638446849143,25.9,32.8,15.2,16.2,3.7,11.3,16.3,4.4,2.4,Bolsover,41.2,42.0,2.306479099848634,5.576196373567051,5.890571909434442,19.73473902596509,20.824997618367156,6.729965175235253,10.223026684872927,6.0017147756501865,1.498840938680893,0.7949361193145132
