Constituency,Electorate*,Total Poll,Percentage Poll,Votes in favour of proposal,Votes against proposal,Spoilt Votes
Carlow-Kilkenny,86584,48651,56.19,45362,2531,758
Cavan-Monaghan,83141,50564,60.82,46612,3194,758
Clare,71060,36643,51.57,34089,2023,531
Cork East,63881,35353,55.34,33582,1275,496
Cork North-Central,72802,38861,53.38,35703,2773,385
Cork North-West,47402,27993,59.05,25878,1689,426
Cork South-Central,85752,49939,58.24,46596,3001,342
Cork South-West,47988,27598,57.51,25591,1604,403
Donegal North-East,52188,29217,55.98,26923,2012,282
Donegal South-West,51097,27959,54.72,25919,1693,347
Dublin Central,63483,33576,52.89,31232,1998,346
Dublin North,65312,39630,60.68,37756,1689,185
Dublin North-Central,65737,42807,65.12,40196,2322,289
Dublin North-East,59398,36497,61.44,34347,1985,165
Dublin North-West,59332,35156,59.25,32731,2171,254
Dublin South,90536,57414,63.42,54727,2431,256
Dublin South-Central,66994,39823,59.44,36945,2515,363
Dublin South-East,62663,37400,59.68,35375,1760,265
Dublin South-West,76748,40144,52.31,37475,2382,287
Dublin West,68773,38614,56.15,36378,2043,193
Dun Laoghaire,86311,53710,62.23,51161,2244,305
Galway East,61703,32575,52.79,30577,1465,533
Galway West,79180,38762,48.95,36302,2014,446
Kerry North,51641,26245,50.82,24048,1869,328
Kerry South,47677,25491,53.47,23540,1550,401
Kildare North,54104,29431,54.4,27925,1333,173
Kildare South,47904,24590,51.33,22958,1359,273
Laoighis-Offaly,84530,46601,55.13,43176,2773,652
Limerick East,77884,42323,54.34,39458,2432,433
Limerick West,48454,25482,52.59,23634,1422,426
Longford-Roscommon,63968,35956,56.21,33297,2004,655
Louth,72116,43651,60.53,40664,2607,380
Mayo,86785,45259,52.15,42264,2248,747
Meath,92053,49863,54.17,46859,2507,497
Sligo-Leitrim,64538,36864,57.12,34237,2030,597
Tipperary North,53368,30628,57.39,28322,1833,473
Tipperary South,51439,29822,57.98,27636,1696,490
Waterford,69793,37825,54.2,35282,2140,403
Westmeath,48289,26411,54.69,24488,1529,394
Wexford,84228,44334,52.64,40810,2938,586
Wicklow,80252,45733,56.99,42528,2664,541
Total,2747088,1545395,56.26,1442583,85748,17064
