Region,Labour,Conservative,Liberal.Democrat,Plaid.Cymru,Referendum,Other,Welsh.Identity,Other.Identity,Sparse,Medium,Dense,Agree
Anglesey,33.2,21.5,3.8,39.5,2.0,0.0,69.2,30.8,52,35,13,50.9
Blaenau Gwent,79.5,6.6,8.7,5.2,0.0,0.0,85.0,15.0,0,93,7,56.1
Bridgend,66.3,16.9,9.3,5.4,2.1,0.0,79.2,20.8,3,60,37,54.4
Caerphilly,70.6,9.5,8.3,8.2,3.1,0.3,82.5,17.5,2,67,31,55.7
Cardiff,51.8,24.4,13.9,3.5,2.4,4.0,66.4,33.6,0,9,91,44.4
Carmarthenshire,50.3,12.1,8.4,26.9,1.4,0.9,75.8,24.2,43,43,14,65.5
Ceredigion,24.3,14.9,16.5,41.6,2.7,0.0,62.3,37.7,59,26,15,59.2
Conwy,36.0,28.3,22.2,10.1,2.3,1.1,49.4,50.6,15,58,26,40.9
Denbighshire,52.7,29.8,8.8,5.9,2.1,0.7,50.1,49.9,26,32,42,40.5
Flintshire,59.5,24.4,10.0,2.8,3.3,0.0,43.2,56.8,12,64,24,38.2
Gwynedd,26.8,13.8,5.8,50.9,2.7,0.0,71.3,28.7,54,33,13,64.1
Merthyr Tydfil,76.7,6.4,7.5,6.0,1.7,1.7,86.8,13.2,6,68,26,58.2
Monmouthshire,47.7,39.2,9.6,1.1,2.4,0.0,54.2,45.8,32,39,29,32.1
Neath Port Talbot,72.5,8.3,8.7,7.0,2.5,1.0,82.8,17.2,16,53,31,66.5
Newport,59.2,22.9,10.1,1.7,3.2,2.9,69.8,30.3,8,28,63,37.5
Pembrokeshire,48.7,27.1,10.6,9.5,3.6,0.5,60.5,39.5,42,39,14,42.8
Powys,23.4,27.8,43.0,3.0,2.4,0.4,55.8,44.2,69,29,3,42.7
Rhondda Cynon Taf,69.1,8.1,9.9,10.0,2.0,0.9,84.6,15.4,1,89,10,58.5
Swansea,61.4,18.1,12.2,5.1,2.2,1.0,73.0,27.0,2,42,56,53.0
Torfaen,69.1,12.3,12.1,2.4,2.9,1.2,75.6,24.4,0,58,42,49.8
Vale of Glamorgan,53.9,34.3,9.2,2.6,0.0,0.0,70.2,29.8,19,27,54,35.5
Wrexham,57.2,23.5,11.2,4.8,3.2,0.1,67.1,32.9,17,42,42,44.3
