Region Code,Region,Name,Result,Majority,Maj %,Yes vote,Yes %,No vote,No %,Electorate,Valid Votes,Turnout %,,CONS (2010),LAB (2010),LD (2010),Turnout (2010)
H,London,City of London,No,188,7.3,"1,196",46.4,"1,384",53.6,"6,068","2,580",42.5,,-,-,-,-
H,London,Barking and Dagenham,No,"12,902",40.6,"9,436",29.7,"22,338",70.3,"114,639","31,774",27.7,,15.3,47.5,11.7,60.4
H,London,Barnet,No,"25,298",29.6,"30,153",35.2,"55,451",64.8,"220,340","85,604",38.9,,41.8,30.1,19.1,63.2
H,London,Bexley,No,"33,701",53.0,"14,929",23.5,"48,630",76.5,"169,825","63,559",37.4,,42.7,23.8,13.3,66.9
H,London,Brent,No,"5,390",9.5,"25,551",45.2,"30,941",54.8,"183,529","56,492",30.8,,21.8,41.8,29.5,60.1
H,London,Bromley,No,"40,385",42.5,"27,286",28.7,"67,671",71.3,"230,331","94,957",41.2,,49.6,15.1,24.2,68.9
H,London,Camden,Yes,"1,430",2.8,"26,275",51.4,"24,845",48.6,"137,117","51,120",37.3,,25.7,33.4,29.0,59.6
H,London,Croydon,No,"29,686",34.0,"28,789",33.0,"58,475",67.0,"243,610","87,264",35.8,,36.8,31.9,18.7,63.8
H,London,Ealing,No,"10,120",13.5,"32,445",43.3,"42,565",56.8,"207,846","75,010",36.1,,34.2,37.5,19.5,62.2
H,London,Enfield,No,"22,200",32.1,"23,521",34.0,"45,721",66.0,"196,016","69,242",35.3,,33.8,34.2,16.8,64.5
H,London,Greenwich,No,"11,421",21.7,"20,618",39.2,"32,039",60.8,"158,603","52,657",33.2,,24.5,41.1,16.8,62.0
H,London,Hackney,Yes,"10,905",21.4,"30,969",60.7,"20,064",39.3,"149,606","51,033",34.1,,13.7,46.7,21.8,57.8
H,London,Hammersmith and Fulham,No,"7,491",18.2,"16,889",40.9,"24,380",59.1,"109,375","41,269",37.7,,43.4,34.1,19.8,61.9
H,London,Haringey,Yes,"7,087",13.2,"30,310",56.6,"23,223",43.4,"150,294","53,533",35.6,,14.5,40.0,34.5,60.5
H,London,Harrow,No,"20,003",32.3,"20,990",33.9,"40,993",66.1,"163,792","61,983",37.8,,39.5,34.7,20.4,65.6
H,London,Havering,No,"35,099",54.6,"14,592",22.7,"49,691",77.3,"179,159","64,283",35.9,,36.6,18.5,2.5,66.0
H,London,Hillingdon,No,"26,647",41.4,"18,888",29.3,"45,535",70.7,"189,505","64,423",34.0,,44.5,29.0,17.1,63.4
H,London,Hounslow,No,"11,597",21.7,"20,953",39.2,"32,550",60.8,"162,466","53,503",32.9,,31.2,34.6,15.7,59.7
H,London,Islington,Yes,"6,702",13.9,"27,553",56.9,"20,851",43.1,"135,675","48,404",35.7,,15.6,39.1,31.3,61.9
H,London,Kensington and Chelsea,No,"10,636",35.4,"9,696",32.3,"20,332",67.7,"87,514","30,028",34.3,,52.8,21.6,20.6,47.6
H,London,Kingston upon Thames,No,"9,715",21.0,"18,230",39.5,"27,945",60.5,"107,868","46,175",42.8,,36.9,11.0,39.2,68.7
H,London,Lambeth,Yes,"5,954",9.4,"34,712",54.7,"28,758",45.3,"191,929","63,470",33.1,,18.7,43.0,28.0,57.5
H,London,Lewisham,No,745,1.3,"28,184",49.4,"28,929",50.7,"172,573","57,113",33.1,,16.1,38.4,25.7,60.3
H,London,Merton,No,"15,198",29.3,"18,375",35.4,"33,573",64.6,"130,413","51,948",39.8,,32.8,35.3,20.5,66.3
H,London,Newham,No,"6,084",12.6,"21,085",43.7,"27,169",56.3,"177,666","48,254",27.2,,17.6,62.8,4.2,52.7
H,London,Redbridge,No,"22,193",35.1,"20,524",32.5,"42,717",67.6,"192,533","63,241",32.9,,35.6,36.0,21.9,62.4
H,London,Richmond upon Thames,No,"10,972",18.1,"24,796",40.9,"35,768",59.1,"128,637","60,564",47.1,,42.1,9.0,40.1,73.0
H,London,Southwark,Yes,"3,391",5.5,"32,695",52.7,"29,304",47.3,"180,695","61,999",34.3,,16.6,40.4,31.0,57.8
H,London,Sutton,No,"18,073",34.8,"16,930",32.6,"35,003",67.4,"133,714","51,933",38.8,,35.8,9.9,45.9,69.8
H,London,Tower Hamlets,No,"3,689",8.3,"20,286",45.8,"23,975",54.2,"153,378","44,261",28.9,,20.4,37.1,18.3,60.5
H,London,Waltham Forest,No,"8,978",16.9,"22,140",41.6,"31,118",58.4,"157,784","53,258",33.8,,23.6,36.8,27.4,59.2
H,London,Wandsworth,No,"16,585",21.6,"30,152",39.2,"46,737",60.8,"207,806","76,889",37.0,,45.8,28.2,16.5,62.7
H,London,Westminster,No,"9,526",23.8,"15,279",38.1,"24,805",61.9,"127,540","40,084",31.4,,43.2,25.4,18.9,53.2
,,London,No,"389,053",20.9,"734,427",39.5,"1,123,480",60.5,"5,257,846","1,857,907",35.3,,32.0,32.6,22.0,62.0
